year,week,rank,title,author,publisher,description
2025,2025-11-16,2,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer."
2025,2025-11-16,3,BONDS OF HERCULES,Jasmine Mas,Canary Street,The second book in the Villains of Lore series. Seduction and danger put Hercules in a tough spot.
2025,2025-11-16,4,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
2025,2025-11-16,5,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2025,2025-11-16,6,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
2025,2025-11-16,7,REMAIN,Nicholas Sparks with M. Night Shyamalan,Random House,"A New York architect moves to Cape Cod, where he enters a relationship that brings up a lot of questions."
2025,2025-11-16,8,THE PROVING GROUND,Michael Connelly,"Little, Brown",The eighth book in the Lincoln Lawyer series. Mickey Haller enlists a journalist to help his lawsuit against an A.I. company.
2025,2025-11-16,9,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision."
2025,2025-11-16,10,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin."
2025,2025-11-16,11,THE THINGS GODS BREAK,Abigail Owen,Red Tower,The second book in the Crucible series. Escaping Tartarus demands overcoming trials and breaking rules.
2025,2025-11-16,12,THE EVERLASTING,Alix E. Harrow,Tor,A scholar goes back in time to help rewrite Una Everlasting's legend.
2025,2025-11-16,13,THE TIN MEN,Nelson DeMille and Alex DeMille,Simon & Schuster,The third book in the Scott Brodie & Maggie Taylor series. An investigation into the death of a military scientist surfaces troubling technology.
2025,2025-11-16,14,WRECK,Catherine Newman,Harper,Shifts in circumstances affect Rocky and her family.
2025,2025-11-16,15,TOM'S CROSSING,Mark Z. Danielewski,Pantheon,"In Utah in 1982, two teenagers try to prevent two horses from being slaughtered."
2025,2025-11-23,1,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer."
2025,2025-11-23,2,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
2025,2025-11-23,3,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2025,2025-11-23,4,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
2025,2025-11-23,5,THE CHRISTMAS STRANGER,Richard Paul Evans,Gallery,"Three years after a tragedy, a computer repairman encounters several people who make him reconsider the value of his life."
2025,2025-11-23,6,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision."
2025,2025-11-23,7,REMAIN,Nicholas Sparks with M. Night Shyamalan,Random House,"A New York architect moves to Cape Cod, where he enters a relationship that brings up a lot of questions."
2025,2025-11-23,8,THE PROVING GROUND,Michael Connelly,"Little, Brown",The eighth book in the Lincoln Lawyer series. Mickey Haller enlists a journalist to help his lawsuit against an A.I. company.
2025,2025-11-23,9,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin."
2025,2025-11-23,10,EMPIRE OF THE DAWN,Jay Kristoff,St. Martin's,The third book in the Empire of the Vampire series. A final battle will alter the state of the Empire.
2025,2025-11-23,11,THE BLACK WOLF,Louise Penny,Minotaur,"The 20th book in the Chief Inspector Gamache series. After thwarting a terrorist attack, an injured Gamache leads a covert investigation."
2025,2025-11-23,12,BONDS OF HERCULES,Jasmine Mas,Canary Street,The second book in the Villains of Lore series. Seduction and danger put Hercules in a tough spot.
2025,2025-11-23,13,THE CORRESPONDENT,Virginia Evans,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.
2025,2025-11-23,14,QUEEN ESTHER,John Irving,Simon & Schuster,"In a novel set in the world of “The Cider House Rules,” a Jewish woman who grew up orphaned is affected by antisemitism."
2025,2025-11-23,15,THE BRIDGE KINGDOM,Danielle L. Jensen,Del Rey,Lara’s sense of self and loyalty to her land become tested as her feelings toward her husband shift.
2025,2025-11-30,1,THE STRENGTH OF THE FEW,James Islington,Saga,The second book in the Hierarchy series. Vis Telimus must find out why he has been replicated across three separate worlds.
2025,2025-11-30,2,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer."
2025,2025-11-30,3,EXIT STRATEGY,Lee Child and Andrew Child,Bantam,The 30th book in the Jack Reacher series. Reacher’s interest is piqued when he finds a handwritten note in his pocket.
2025,2025-11-30,4,NASH FALLS,David Baldacci,Grand Central,A successful businessman’s life is turned upside down when he is recruited by the F.B.I. to stop a large money laundering scheme.
2025,2025-11-30,5,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2025,2025-11-30,6,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
2025,2025-11-30,7,REMAIN,Nicholas Sparks with M. Night Shyamalan,Random House,"A New York architect moves to Cape Cod, where he enters a relationship that brings up a lot of questions."
2025,2025-11-30,8,THE KING'S RANSOM,Janet Evanovich,Atria,The second book in the Recovery Agent series. Gabriela Rose must go around the world to find priceless artifacts that have gone missing.
2025,2025-11-30,9,THE CORRESPONDENT,Virginia Evans,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.
2025,2025-11-30,10,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
2025,2025-11-30,11,QUICKSILVER,Callie Hart,Forever,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas."
2025,2025-11-30,12,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision."
2025,2025-11-30,13,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin."
2025,2025-11-30,14,INGRAM,Louis C.K.,BenBella,"When poverty forces a boy to walk away from his home, he faces difficulties, indifference and a tragedy from his past."
2025,2025-11-30,15,BRIGANDS & BREADKNIVES,Travis Baldree,Tor,The third book in the Legends & Lattes series. A bookseller named Fern uproots herself and moves to the city of Thune.
2025,2025-12-07,1,BRIMSTONE,Callie Hart,Forever,"The second book in the Fae & Alchemy series. To save those close to them, Saeris and Fisher face a new set of dangers."
2025,2025-12-07,2,THE SEVEN RINGS,Nora Roberts,St. Martin's,The third book in the Lost Bride Trilogy. Sonya fights across two realms to take possession of a haunted manor.
2025,2025-12-07,3,QUICKSILVER,Callie Hart,Forever,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas."
2025,2025-12-07,4,RETURN OF THE SPIDER,James Patterson,"Little, Brown",The 34th book in the Alex Cross series. An enemy’s murder book suggests Cross may have made rookie mistakes years ago.
2025,2025-12-07,5,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer."
2025,2025-12-07,6,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
2025,2025-12-07,7,NASH FALLS,David Baldacci,Grand Central,A successful businessman’s life is turned upside down when he is recruited by the F.B.I. to stop a large money laundering scheme.
2025,2025-12-07,8,THE BOND THAT BURNS,Briar Boleyn,MIRA,"The second book in the Bloodwing Academy series. When a dragon is awakened, bonds are tested and lives are threatened."
2025,2025-12-07,9,EXIT STRATEGY,Lee Child and Andrew Child,Bantam,The 30th book in the Jack Reacher series. Reacher’s interest is piqued when he finds a handwritten note in his pocket.
2025,2025-12-07,10,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2025,2025-12-07,11,THE COLOR OF HOPE,Danielle Steel,Delacorte,"A widowed art gallery owner moves to the Basque countryside, where she transforms a chateau and develops a new relationship."
2025,2025-12-07,12,THE CORRESPONDENT,Virginia Evans,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.
2025,2025-12-07,13,"I, MEDUSA",Ayana Gray,Random House,"Meddy forges a path away from her family, who are minor gods, and is given a wrongful punishment that transforms her into a vigilante."
2025,2025-12-07,14,MONA'S EYES,Thomas Schlesser,Europa,A 10-year-old who may get permanent vision loss is bolstered by her grandfather’s quest to bring beauty into her life; translated by Hildegarde Serle.
2025,2025-12-07,15,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
2025,2025-12-14,1,BRIMSTONE,Callie Hart,Forever,"The second book in the Fae & Alchemy series. To save those close to them, Saeris and Fisher face a new set of dangers."
2025,2025-12-14,2,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer."
2025,2025-12-14,3,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2025,2025-12-14,4,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
2025,2025-12-14,5,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
2025,2025-12-14,6,THE BOOK OF AZRAEL,Amber V. Nicole,Kensington,"As dangers intensify, an alliance between enemies might be the only thing that can save a world and various realms."
2025,2025-12-14,7,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin."
2025,2025-12-14,8,QUICKSILVER,Callie Hart,Forever,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas."
2025,2025-12-14,9,RETURN OF THE SPIDER,James Patterson,"Little, Brown",The 34th book in the Alex Cross series. An enemy’s murder book suggests Cross may have made rookie mistakes years ago.
2025,2025-12-14,10,THE CORRESPONDENT,Virginia Evans,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.
2025,2025-12-14,11,EXIT STRATEGY,Lee Child and Andrew Child,Bantam,The 30th book in the Jack Reacher series. Reacher’s interest is piqued when he finds a handwritten note in his pocket.
2025,2025-12-14,12,ONYX STORM,Rebecca Yarros,Red Tower,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025,2025-12-14,13,MONA'S EYES,Thomas Schlesser,Europa,A 10-year-old who may get permanent vision loss is bolstered by her grandfather’s quest to bring beauty into her life; translated by Hildegarde Serle.
2025,2025-12-14,14,THE SEVEN RINGS,Nora Roberts,St. Martin's,The third book in the Lost Bride Trilogy. Sonya fights across two realms to take possession of a haunted manor.
2025,2025-12-14,15,NASH FALLS,David Baldacci,Grand Central,A successful businessman’s life is turned upside down when he is recruited by the F.B.I. to stop a large money laundering scheme.
2025,2025-12-21,1,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer."
2025,2025-12-21,2,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
2025,2025-12-21,3,BRIMSTONE,Callie Hart,Forever,"The second book in the Fae & Alchemy series. To save those close to them, Saeris and Fisher face a new set of dangers."
2025,2025-12-21,4,THE CORRESPONDENT,Virginia Evans,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.
2025,2025-12-21,5,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2025,2025-12-21,6,RETURN OF THE SPIDER,James Patterson,"Little, Brown",The 34th book in the Alex Cross series. An enemy’s murder book suggests Cross may have made rookie mistakes years ago.
2025,2025-12-21,7,MONA'S EYES,Thomas Schlesser,Europa,A 10-year-old who may get permanent vision loss is bolstered by her grandfather’s quest to bring beauty into her life; translated by Hildegarde Serle.
2025,2025-12-21,8,NASH FALLS,David Baldacci,Grand Central,A successful businessman’s life is turned upside down when he is recruited by the F.B.I. to stop a large money laundering scheme.
2025,2025-12-21,9,EXIT STRATEGY,Lee Child and Andrew Child,Bantam,The 30th book in the Jack Reacher series. Reacher’s interest is piqued when he finds a handwritten note in his pocket.
2025,2025-12-21,10,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin."
2025,2025-12-21,11,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
2025,2025-12-21,12,THE DARK IS DESCENDING,Chloe C. Peñaranda,Bramble,"The third book in the Nytefall trilogy. As the end of the world seems imminent, two lovers must make a big decision."
2025,2025-12-21,13,FALLEN GODS,Rachel Van Dyken,Red Tower,The fate of the world may depend on a complicated relationship forming at Endir University.
2025,2025-12-21,14,DUNGEON CRAWLER CARL,Matt Dinniman,Ace,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon."
2025,2025-12-21,15,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision."
2025,2025-12-28,1,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer."
2025,2025-12-28,2,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
2025,2025-12-28,3,THE CORRESPONDENT,Virginia Evans,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.
2025,2025-12-28,4,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2025,2025-12-28,5,BRIMSTONE,Callie Hart,Forever,"The second book in the Fae & Alchemy series. To save those close to them, Saeris and Fisher face a new set of dangers."
2025,2025-12-28,6,MONA'S EYES,Thomas Schlesser,Europa,A 10-year-old who may get permanent vision loss is bolstered by her grandfather’s quest to bring beauty into her life; translated by Hildegarde Serle.
2025,2025-12-28,7,RETURN OF THE SPIDER,James Patterson,"Little, Brown",The 34th book in the Alex Cross series. An enemy’s murder book suggests Cross may have made rookie mistakes years ago.
2025,2025-12-28,8,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin."
2025,2025-12-28,9,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision."
2025,2025-12-28,10,TAILORED REALITIES,Brandon Sanderson,Tor,A collection of 10 works of short fiction that includes the novella “Moment Zero.”
2025,2025-12-28,11,NASH FALLS,David Baldacci,Grand Central,A successful businessman’s life is turned upside down when he is recruited by the F.B.I. to stop a large money laundering scheme.
2025,2025-12-28,12,DUNGEON CRAWLER CARL,Matt Dinniman,Ace,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon."
2025,2025-12-28,13,EXIT STRATEGY,Lee Child and Andrew Child,Bantam,The 30th book in the Jack Reacher series. Reacher’s interest is piqued when he finds a handwritten note in his pocket.
2025,2025-12-28,14,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
2025,2025-12-28,15,BUCKEYE,Patrick Ryan,Random House,Consequences created by a secret forged between members of two families in a small Ohio town affect a new generation.
2026,2026-01-04,1,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer."
2026,2026-01-04,2,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project."
2026,2026-01-04,3,THE CORRESPONDENT,Virginia Evans,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.
2026,2026-01-04,4,MONA'S EYES,Thomas Schlesser,Europa,A 10-year-old who may get permanent vision loss is bolstered by her grandfather’s quest to bring beauty into her life; translated by Hildegarde Serle.
2026,2026-01-04,5,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories."
2026,2026-01-04,6,BRIMSTONE,Callie Hart,Forever,"The second book in the Fae & Alchemy series. To save those close to them, Saeris and Fisher face a new set of dangers."
2026,2026-01-04,7,RETURN OF THE SPIDER,James Patterson,"Little, Brown",The 34th book in the Alex Cross series. An enemy’s murder book suggests Cross may have made rookie mistakes years ago.
2026,2026-01-04,8,DUNGEON CRAWLER CARL,Matt Dinniman,Ace,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon."
2026,2026-01-04,9,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin."
2026,2026-01-04,10,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision."
2026,2026-01-04,11,NASH FALLS,David Baldacci,Grand Central,A successful businessman’s life is turned upside down when he is recruited by the F.B.I. to stop a large money laundering scheme.
2026,2026-01-04,12,QUICKSILVER,Callie Hart,Forever,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas."
2026,2026-01-04,13,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam."
2026,2026-01-04,14,REMAIN,Nicholas Sparks with M. Night Shyamalan,Random House,"A New York architect moves to Cape Cod, where he enters a relationship that brings up a lot of questions."
2026,2026-01-04,15,ATMOSPHERE,Taylor Jenkins Reid,Ballantine,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program."
