year,week,rank,title,author,publisher,description
2023,2023-03-05,13,THINGS WE NEVER GOT OVER,Lucy Score,Bloom,A runaway bride becomes the guardian of her evil twin's daughter and gets some help from a bad-boy barber.
2023,2023-03-05,14,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2023,2023-03-05,15,DEMON COPPERHEAD,Barbara Kingsolver,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
2023,2023-03-12,1,THINGS WE HIDE FROM THE LIGHT,Lucy Score,Bloom,The second book in the Knockemout series. A woman with some secrets and the chief of police have different ideas about where things are headed.
2023,2023-03-12,2,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend."
2023,2023-03-12,3,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2023,2023-03-12,4,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
2023,2023-03-12,5,BURNER,Mark Greaney,Berkley,"The 12th book in the Gray Man series. Stolen records, the Russian mafia and the C.I.A. complicate things for Court Gentry and his lover."
2023,2023-03-12,6,HEART BONES,Colleen Hoover,Atria,"After an unexpected death prevents her from going to Penn State and and forces her to move in with her absent father, Beyah Grim has a summer fling with the rich guy next door."
2023,2023-03-12,7,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.
