year,week,rank,title,author
2011,2011-05-08,12,I’LL WALK ALONE,Mary Higgins Clark
2011,2011-05-08,13,QUICKSILVER,Amanda Quick
2011,2011-05-08,14,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-05-08,15,THE PARIS WIFE,Paula McLain
2011,2011-05-15,1,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-05-15,2,SOMETHING BORROWED,Emily Giffin
2011,2011-05-15,3,THE SIXTH MAN,David Baldacci
2011,2011-05-15,4,THE HELP,Kathryn Stockett
2011,2011-05-15,5,A GAME OF THRONES,George R.R. Martin
2011,2011-05-15,6,THE LINCOLN LAWYER,Michael Connelly
2011,2011-05-15,7,THE FIFTH WITNESS,Michael Connelly
2011,2011-05-15,8,SAVAGE NATURE,Christine Feehan
2011,2011-05-15,9,BEL-AIR DEAD,Stuart Woods
2011,2011-05-15,10,CHASING FIRE,Nora Roberts
2011,2011-05-15,11,A TURN IN THE ROAD,Debbie Macomber
2011,2011-05-15,12,MOONLIGHT COVE,Sherryl Woods
2011,2011-05-15,13,ANY MAN OF MINE,Rachel Gibson
2011,2011-05-15,14,THE PARIS WIFE,Paula McLain
2011,2011-05-15,15,I’LL WALK ALONE,Mary Higgins Clark
2011,2011-05-22,1,DEAD RECKONING,Charlaine Harris
2011,2011-05-22,2,10TH ANNIVERSARY,James Patterson and Maxine Paetro
2011,2011-05-22,3,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-05-22,4,SOMETHING BORROWED,Emily Giffin
2011,2011-05-22,5,THE HELP,Kathryn Stockett
2011,2011-05-22,6,THE SIXTH MAN,David Baldacci
2011,2011-05-22,7,NO TIME LEFT,David Baldacci
2011,2011-05-22,8,A GAME OF THRONES,George R.R. Martin
2011,2011-05-22,9,THE LINCOLN LAWYER,Michael Connelly
2011,2011-05-22,10,SIXKILL,Robert B. Parker
2011,2011-05-22,11,THE FIFTH WITNESS,Michael Connelly
2011,2011-05-22,12,I’LL WALK ALONE,Mary Higgins Clark
2011,2011-05-22,13,CHASING FIRE,Nora Roberts
2011,2011-05-22,14,THE LAND OF PAINTED CAVES,Jean M. Auel
2011,2011-05-22,15,THE SEARCH,Nora Roberts
2011,2011-05-29,1,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-05-29,2,BURIED PREY,John Sandford
2011,2011-05-29,3,DEAD RECKONING,Charlaine Harris
2011,2011-05-29,4,10TH ANNIVERSARY,James Patterson and Maxine Paetro
2011,2011-05-29,5,SOMETHING BORROWED,Emily Giffin
2011,2011-05-29,6,THE HELP,Kathryn Stockett
2011,2011-05-29,7,THE SIXTH MAN,David Baldacci
2011,2011-05-29,8,THE LINCOLN LAWYER,Michael Connelly
2011,2011-05-29,9,A GAME OF THRONES,George R.R. Martin
2011,2011-05-29,10,SOMETHING BLUE,Emily Giffin
2011,2011-05-29,11,THE FIFTH WITNESS,Michael Connelly
2011,2011-05-29,12,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-05-29,13,THE PARIS WIFE,Paula McLain
2011,2011-05-29,14,A TURN IN THE ROAD,Debbie Macomber
2011,2011-05-29,15,A CLASH OF KINGS,George R.R. Martin
2011,2011-06-05,1,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-06-05,2,THE HELP,Kathryn Stockett
2011,2011-06-05,3,10TH ANNIVERSARY,James Patterson and Maxine Paetro
2011,2011-06-05,4,SOMETHING BORROWED,Emily Giffin
2011,2011-06-05,5,DEAD RECKONING,Charlaine Harris
2011,2011-06-05,6,BURIED PREY,John Sandford
2011,2011-06-05,7,THE JEFFERSON KEY,Steve Berry
2011,2011-06-05,8,THE SIXTH MAN,David Baldacci
2011,2011-06-05,9,A GAME OF THRONES,George R.R. Martin
2011,2011-06-05,10,SOMETHING BLUE,Emily Giffin
2011,2011-06-05,11,THE LINCOLN LAWYER,Michael Connelly
2011,2011-06-05,12,THE FIFTH WITNESS,Michael Connelly
2011,2011-06-05,13,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-06-05,14,THE PARIS WIFE,Paula McLain
2011,2011-06-05,15,THE SNOWMAN,Jo Nesbo
2011,2011-06-12,1,WATER FOR ELEPHANTS,Sara Gruen
2011,2011-06-12,2,THE HELP,Kathryn Stockett
2011,2011-06-12,3,SOMETHING BORROWED,Emily Giffin
2011,2011-06-12,4,10TH ANNIVERSARY,James Patterson and Maxine Paetro
2011,2011-06-12,5,BURIED PREY,John Sandford
2011,2011-06-12,6,DEAD RECKONING,Charlaine Harris
2011,2011-06-12,7,THE SIXTH MAN,David Baldacci
2011,2011-06-12,8,A GAME OF THRONES,George R.R. Martin
2011,2011-06-12,9,FRANKENSTEIN: THE DEAD TOWN,Dean Koontz
2011,2011-06-12,10,THE JEFFERSON KEY,Steve Berry
2011,2011-06-12,11,SOMETHING BLUE,Emily Giffin
2011,2011-06-12,12,CONVICTION,Aaron Allston
2011,2011-06-12,13,THE LINCOLN LAWYER,Michael Connelly
2011,2011-06-12,14,THE FIFTH WITNESS,Michael Connelly
2011,2011-06-12,15,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson
2011,2011-06-19,1,THE HELP,Kathryn Stockett
2011,2011-06-19,2,SOMETHING BORROWED,Emily Giffin
2011,2011-06-19,3,10TH ANNIVERSARY,James Patterson and Maxine Paetro
